Class Name - Live Objects,Live Bytes11,Live Bytes12,Live Objects1,size1,Live Bytes21,Live Bytes22,Live Objects2,size2,Live Bytes31,Live Bytes32,Live Objects3,size3
com.intellij.psi.templateLanguages.TemplateDataLanguageMappings,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.openapi.vcs.update.RestoreUpdateTree,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.openapi.vcs.roots.VcsRootScanner,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.psi.search.ProjectScopeImpl,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.psi.search.NonClasspathDirectoriesScope,0.00%,24,1,24,0.00%,64,2,32,0.00%,24,1,24
com.intellij.openapi.vcs.impl.VcsDirectoryMappingStorage,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.database.run.actions.ChooseConsoleAction,0.00%,24,1,24,0.00%,40,1,40,0.00%,24,1,24
com.intellij.database.run.actions.ChooseExtractorAction,0.00%,24,1,24,0.00%,40,1,40,0.00%,24,1,24
com.intellij.database.run.actions.ChooseSchemaAction,0.00%,24,1,24,0.00%,40,1,40,0.00%,24,1,24
com.intellij.openapi.components.impl.ModulePathMacroManager,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.debugger.streams.lib.LibrarySupportProvider[],0.00%,24,1,24,0.00%,40,1,40,0.00%,24,1,24
com.intellij.openapi.vcs.changes.actions.RemoveChangeListAction,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.analysis.PackagesScopesProvider,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.lang.typescript.tsconfig.graph.TypeScriptConfigGraphCache,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.execution.compound.CompoundRunConfigurationType$1,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.lang.css.CssDialectMappings,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.execution.scratch.JavaScratchConfigurationType,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.util.indexing.LightDirectoryIndex,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.psi.codeStyle.FileIndentOptionsProvider[],0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.psi.codeStyle.CodeStyleSettingsCustomizable$CommenterOption[],0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.ide.GeneratedSourceFileChangeTrackerImpl$2,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.openapi.editor.impl.EditorActionManagerImpl,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
org.intellij.idea.lang.javascript.intention.initialization.FlowJSTypeExplicitlyIntention,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.ide.actions.RedoAction,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.ide.actions.UndoAction,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.lang.javascript.dialects.JSDialectsMappings,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
